Sample,Stage,Temp
29_4cell_rep_1,4cell,ambient
29_4cell_rep_2,4cell,ambient
29_4cell_rep_3,4cell,ambient
29_blast_rep_1,blastula,ambient
29_blast_rep_2,blastula,ambient
29_blast_rep_3,blastula,ambient
29_gast_rep_1,gastrula,ambient
29_gast_rep_2,gastrula,ambient
29_gast_rep_3,gastrula,ambient
29_larv_rep_1,larvae,ambient
29_larv_rep_2,larvae,ambient
29_larv_rep_3,larvae,ambient
33_4cell_rep_1,4cell,high
33_4cell_rep_2,4cell,high
33_4cell_rep_3,4cell,high
33_blast_rep_1,blastula,high
33_blast_rep_2,blastula,high
33_blast_rep_3,blastula,high
33_gast_rep_1,gastrula,high
33_gast_rep_2,gastrula,high
33_gast_rep_3,gastrula,high
33_larv_rep_1,larvae,high
33_larv_rep_2,larvae,high
33_larv_rep_3,larvae,high
eggs_rep_1,eggs,ambient
eggs_rep_2,eggs,ambient
eggs_rep_3,eggs,ambient
