baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN10934_c0_g1	1121.02711479761	-0.657360938995324	0.183771050649472	-3.5770647045447	0.00034747418509376	0.0319211092476233
TRINITY_DN109_c0_g2	8979.24630591375	0.581550896252699	0.127379425048524	4.5655010299439	4.98302750049265e-06	0.00305971011572013
TRINITY_DN1127_c0_g1	4289.52329281471	0.415755024883152	0.103746307842937	4.00741996055	6.13856545969222e-05	0.0115568874684718
TRINITY_DN11294_c0_g1	787.586033402444	0.522622526987123	0.130176323184816	4.01472797971975	5.9514393536243e-05	0.0115259542148524
TRINITY_DN11320_c0_g1	959.412843319805	0.963694751046482	0.254690904761171	3.78378156829023	0.000154463397329856	0.0202646011916298
TRINITY_DN11407_c0_g1	850.021217189151	-0.916336132788091	0.27093434998442	-3.38213346827667	0.000719251898478447	0.0451148739371012
TRINITY_DN1144_c0_g1	20876.6945515117	-1.5020586349832	0.29826644646799	-5.03596248512117	4.75453678668478e-07	0.0006445567037149
TRINITY_DN11484_c0_g1	674.513610864139	-1.78333299558924	0.417930238399622	-4.26705902501372	1.98066768231854e-05	0.00671281288665793
TRINITY_DN1152_c0_g1	3621.63896642959	-0.588134424718332	0.151645038909344	-3.8783624505509	0.000105161958736628	0.0161393843842214
TRINITY_DN11581_c0_g1	955.742961261726	-1.03792682269752	0.310396736378743	-3.34387157161038	0.000826179741804469	0.0494128383811585
TRINITY_DN1161_c0_g1	632.619917101827	-1.48705565806426	0.436635308884797	-3.40571554293747	0.000659908983233957	0.0439975382756148
TRINITY_DN1194_c0_g1	5431.82572682907	0.782516653047306	0.178650880157345	4.3801444043159	1.18600687042761e-05	0.00507735783371482
TRINITY_DN12463_c0_g1	437.519342865019	-1.58798324969103	0.45853546876945	-3.46316339268721	0.000533864100582822	0.0394492901044501
TRINITY_DN12485_c1_g1	1288.46535305933	-1.56295559306396	0.318148592366815	-4.91265914909949	8.98493980626254e-07	0.00089975353659457
TRINITY_DN13086_c0_g1	459.545724634421	-0.932062520438726	0.230358909633032	-4.04613184670619	5.20709124356259e-05	0.0104055813229946
TRINITY_DN13087_c1_g1	574.473397623535	0.515942036351043	0.147098060136153	3.50747002287787	0.000452389320581723	0.0350450927010641
TRINITY_DN1399_c0_g1	3109.05151343246	-1.56810570791829	0.252770572846048	-6.20367193167441	5.51607152691715e-10	1.3847348386721e-06
TRINITY_DN14520_c0_g1	703.987462391421	-1.81534173751283	0.371044576201764	-4.89251657063893	9.95547311206188e-07	0.00089975353659457
TRINITY_DN1452_c0_g1	3205.52501223545	0.736890084673235	0.177580269969121	4.14961687354891	3.3303221552179e-05	0.00877042332287645
TRINITY_DN15168_c0_g1	1986.04822792614	-1.86746224040337	0.519320621112267	-3.5959716685305	0.000323182974464382	0.0319211092476233
TRINITY_DN15628_c0_g1	486.324357495597	-1.67279540467276	0.348803353665468	-4.79581227386108	1.62016957613784e-06	0.00131784593323052
TRINITY_DN15706_c0_g1	342.785895956798	-1.31549688078525	0.312947178558489	-4.20357482321698	2.62732247209457e-05	0.00821947730308356
TRINITY_DN15879_c0_g1	1420.51927802844	0.62335473090177	0.167394636042028	3.7238632350517	0.000196197238626636	0.024179823318016
TRINITY_DN1602_c0_g1	5370.56755076135	0.687166276184948	0.16788957189458	4.09296580145209	4.25890553415372e-05	0.00925134932671118
TRINITY_DN17119_c0_g1	566.804349554773	1.32690670731503	0.344085483909315	3.85632864321805	0.000115102718011629	0.0170812219717962
TRINITY_DN1748_c0_g1	1129.19044970329	-1.23487877305648	0.324457579574895	-3.80597911959529	0.000141244299302669	0.0191480188421318
TRINITY_DN1759_c0_g1	988.362633435983	-0.73475993635245	0.217135151635342	-3.38388294487854	0.000714684655873881	0.0451148739371012
TRINITY_DN17707_c0_g1	779.930525329679	0.788868522342201	0.228347802788224	3.45467971537182	0.000550946892718783	0.0396584250033149
TRINITY_DN1977_c3_g1	445.391484526131	-1.24960867334382	0.306501548990542	-4.07700606231643	4.56193038189199e-05	0.00951454916059216
TRINITY_DN2028_c0_g1	1369.48088602124	-0.902329295061182	0.258763630604017	-3.48707928140801	0.000488326573175654	0.0374721542095356
TRINITY_DN20490_c0_g1	982.905114552085	-1.01806243432596	0.254988402794023	-3.99258328288892	6.53573670456973e-05	0.0115568874684718
TRINITY_DN2055_c0_g1	46959.229624347	0.75370114898413	0.167910152166457	4.48871696713701	7.16534219051684e-06	0.0038855262251776
TRINITY_DN20705_c0_g1	713.033751362055	0.885622579520289	0.250957030329192	3.52898095087663	0.000417163157555675	0.0339320512355786
TRINITY_DN210_c0_g1	1193.13348522848	-2.3044961998412	0.628561222485442	-3.66630348389743	0.000246081864354176	0.0278004150646787
TRINITY_DN2163_c0_g1	1234.18697278146	0.724471595868743	0.202349653785327	3.58029570259279	0.000343205592604695	0.0319211092476233
TRINITY_DN21676_c0_g1	463.228502932562	1.23287628306535	0.363626908275594	3.39049793897802	0.000697657791025485	0.0447020096392327
TRINITY_DN22215_c0_g1	1075.48308609061	0.519670200589772	0.132405879631573	3.92482722093447	8.67920094836394e-05	0.0147076292737484
TRINITY_DN22283_c0_g1	643.33355482946	-1.30657695173262	0.304656557103239	-4.28868810228777	1.79731550498952e-05	0.00671281288665793
TRINITY_DN22364_c0_g2	593.948945147996	0.568238036862708	0.157233731263585	3.61397031219796	0.000301543604913684	0.0318539699008819
TRINITY_DN22941_c0_g1	299.814780098386	-0.750496590419985	0.185562901866638	-4.0444322807549	5.2450065680204e-05	0.0104055813229946
TRINITY_DN2341_c8_g1	1129.06650698911	-1.24600197139512	0.351363202454146	-3.5461936898692	0.000390838822720634	0.0324396222858127
TRINITY_DN2349_c0_g1	11646.5370168094	-1.4375561478595	0.418421508347402	-3.43566503915458	0.000591101308665903	0.0408453471441269
TRINITY_DN24894_c0_g1	1301.45274530821	-0.981760308397498	0.237874576202309	-4.12721831845756	3.67177771605685e-05	0.00877042332287645
TRINITY_DN2494_c0_g1	3867.72455502715	0.745038594423419	0.207881402902941	3.58395981564197	0.000338424174371243	0.0319211092476233
TRINITY_DN2589_c0_g1	1975.36457904877	-1.39083170354509	0.207472903503263	-6.70367879400318	2.03236748984361e-11	8.26563858119396e-08
TRINITY_DN2628_c0_g1	10088.5235585279	0.867005100868187	0.208910890479438	4.15011921531933	3.32302154952444e-05	0.00877042332287645
TRINITY_DN2659_c0_g1	1516.42196759055	-0.538012229124217	0.155349073748509	-3.463247099852	0.0005336980332683	0.0394492901044501
TRINITY_DN2708_c0_g2	3769.17246872126	-0.467785588086735	0.130528661671677	-3.58377678967836	0.000338661524398043	0.0319211092476233
TRINITY_DN2812_c0_g1	1358.59183315867	-0.686859430856781	0.156595682034404	-4.3861964897977	1.15349929204516e-05	0.00507735783371482
TRINITY_DN290_c0_g1	4145.4004663392	0.575402871935361	0.162183201196654	3.5478574087193	0.000388378418863063	0.0324396222858127
TRINITY_DN29634_c0_g1	832.03411390899	-1.53738890463113	0.418214576353952	-3.67607680735159	0.000236848240204985	0.0275217655118193
