baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN1032_c0_g1	6995.91573991919	-1.53935906659424	0.352511134825398	-4.36683813507536	1.26058074154848e-05	0.0123459338472271
TRINITY_DN12430_c0_g1	381.6457958559	-3.17992161548369	0.770856834303163	-4.1251779500123	3.70448218628032e-05	0.0294784169973257
TRINITY_DN14659_c0_g1	89.5811518861846	-3.67941128514355	0.941677891213265	-3.90729284341907	9.33360046388957e-05	0.049475112587365
TRINITY_DN14955_c0_g1	447.352523557512	-1.20537764046869	0.263693468721455	-4.57113195223639	4.85096689888278e-06	0.00882321579379651
TRINITY_DN16066_c0_g1	65.2044230117705	-1.98135878674271	0.511553176707303	-3.87322154755456	0.000107406107549553	0.049475112587365
TRINITY_DN16997_c0_g1	91.1023836198995	-2.63051050771468	0.679706468972519	-3.87006837185337	0.000108804834467972	0.049475112587365
TRINITY_DN17588_c0_g1	443.383951275048	-1.89788695723846	0.345254908697901	-5.49706002557987	3.86175279299771e-08	0.000491678365604468
TRINITY_DN17624_c0_g1	855.896312755702	0.745611207184547	0.15307200825947	4.87098337352883	1.11044185071087e-06	0.00282762912865017
TRINITY_DN1993_c0_g1	4105.64792001682	0.869218349548542	0.19725735085562	4.40651943148498	1.05044888910486e-05	0.0123459338472271
TRINITY_DN21489_c0_g1	132.571293950829	-2.98769318525502	0.623622299831019	-4.79086970761723	1.66059938379535e-06	0.00352379189241373
TRINITY_DN23763_c0_g1	445.758834740876	-3.48218415576129	0.863951236213195	-4.03053321738868	5.56504633268573e-05	0.0372916683725024
TRINITY_DN2527_c0_g1	12356.0837395876	-3.16711489811712	0.6399228083406	-4.94921396274318	7.45137972984994e-07	0.00237177416801124
TRINITY_DN2529_c0_g1	2273.97163324495	-0.745173331544503	0.190769198649389	-3.90615118593668	9.3777851197039e-05	0.049475112587365
TRINITY_DN3058_c0_g1	19133.3340289474	0.789271278317002	0.200406414477692	3.93835337244087	8.20427060381998e-05	0.049475112587365
TRINITY_DN3062_c0_g1	1706.39142586023	-2.67962371830372	0.602260765159411	-4.44927492096295	8.61606702478607e-06	0.0121888628177307
TRINITY_DN3637_c0_g1	1401.84876432861	1.43455448093137	0.368576771161856	3.89214566183663	9.93615566893967e-05	0.049475112587365
TRINITY_DN3695_c0_g1	4715.42325493049	-0.942192580718082	0.18337179008356	-5.13815445815705	2.77449796153556e-07	0.00176624540231354
TRINITY_DN36_c0_g1	3686.81003991305	-2.24226326275154	0.578373303711138	-3.87684432937003	0.000105820014736129	0.049475112587365
TRINITY_DN40_c0_g1	1908.92716245732	-2.31097053025693	0.459404173633853	-5.03036468297038	4.89547791642655e-07	0.00207764082773143
TRINITY_DN450_c0_g1	5144.34121827058	1.07840315784372	0.242360782287396	4.44957780572325	8.60392565124609e-06	0.0121888628177307
TRINITY_DN4622_c0_g1	2872.77801232366	-2.7636217484817	0.628404518704411	-4.39783875867012	1.09334153830186e-05	0.0123459338472271
TRINITY_DN4908_c1_g1	1445.64247587829	-2.57470374629288	0.637367119563478	-4.03959298693702	5.35440371570284e-05	0.0372916683725024
TRINITY_DN5002_c0_g1	1002.66840340438	-0.563736604325416	0.130365802666022	-4.32426750571716	1.53039504306413e-05	0.0139178497773518
TRINITY_DN5368_c0_g1	2054.64863260277	-2.77343306019135	0.709316446799734	-3.91000811091356	9.22930220222408e-05	0.049475112587365
TRINITY_DN552_c0_g2	3136.78618039294	-1.01405811198319	0.231484405677213	-4.38067570476958	1.18311844762056e-05	0.0123459338472271
TRINITY_DN5711_c0_g1	20362.1607311788	-2.55671308156566	0.626516266296595	-4.08084070454973	4.48731013698183e-05	0.0336073133317957
TRINITY_DN63938_c0_g1	803.55251926578	-0.795917329400219	0.199276753800571	-3.99402998202563	6.49596439267091e-05	0.041353309323743
TRINITY_DN8147_c0_g2	8011.83292083023	-0.572028027744342	0.137317558178594	-4.16573113687593	3.1035629809988e-05	0.0263430425827178
