Sample	Stage	Temp	p58_a	Ets1_2	FoxQ2_1	Erg	Ttrspn_19	Cara7LA	Not	Not_2	Eve	Blimp1	RhoA	Gcm	Sm37	Otx	Pks2	Tbr	Tel	Sp5	Myc	Cycpln	IrxA	Wnt5	Emx	Wnt1	Wnt16	Sm29	p58_b	Wnt4	Delta	FoxG	GataC	ScratchX	Msxl	FoxB	Endo16	E2f3	Nodal	Chordin	Wnt8	Tgif	FoxA	Alx1	Vegf3	Sip1	Pitx2	Nk1	SoxE	Lox	Wnt10	FoxC	Sm50	Msp130	HesC	C-lectin	SoxC	Shr2	FoxY	Ese	Gatae	Gsc	Lefty	Six3	Bra	Hox7	Hh	P19	FoxF
29_4cell_rep_1	29_4cell_rep_1	fourcell	ambient	7.027	15.071352	9.078834	8.290418	8.667467	6.883425	7.196577	7.793862	8.694733	9.272304	12.477039	7.029876	7.069947	12.439273	7.088698	11.28928	11.173526	6.983123	10.250506	7.197061	7.050704	6.925885	7.349479	9.088124	6.925789	7.050468	7.197335	9.452622	7.46946	6.842297	6.889553	6.728011	6.925734	6.842282	7.13882	9.369998	7.82136	8.155568	7.660778	7.070187	7.197221	8.035645	7.210778	9.07965	6.842268	6.889584	6.889608	6.95625	6.728011	6.842245	6.955408	7.261124	8.419552	6.983207	8.743871	11.709277	7.050458	7.106095	7.04933	7.369079	7.138508	7.525818	6.925852	6.728011	6.842313	7.006329	6.728011
29_4cell_rep_2	29_4cell_rep_2	fourcell	ambient	7.00113	15.909335	8.63206	7.702921	8.247727	6.728011	7.193365	8.458775	8.717595	9.587431	12.637569	6.937132	7.089412	12.457206	7.162275	11.337058	11.581058	6.898712	9.193516	7.089466	6.997886	7.984169	7.252049	8.309434	6.84879	7.023343	7.069091	8.728238	7.691845	6.937157	6.728011	6.728011	6.937027	6.728011	7.194085	9.543137	7.640728	8.019693	7.455061	7.33972	7.162073	8.171911	7.023542	9.67424	6.937103	6.969427	7.194096	6.848751	6.728011	6.89875	6.93625	7.223834	8.650809	7.108951	8.662493	11.808067	6.848751	6.93717	6.982092	7.425562	7.237747	6.997752	6.898823	6.848751	6.728011	6.996651	6.728011
29_4cell_rep_3	29_4cell_rep_3	fourcell	ambient	7.047513	14.409239	10.188904	8.299882	8.784737	6.880052	7.129324	7.969082	10.666403	9.830258	13.030128	7.315635	7.159262	12.801768	7.200533	11.663335	11.104166	7.129656	9.413738	7.684859	7.345998	7.411095	8.182915	8.720333	6.886033	7.023188	7.336112	9.336432	7.654357	7.355673	6.886047	7.062526	7.212888	6.977732	7.097929	9.410079	8.576776	8.722816	9.530613	7.249754	7.654232	8.75929	7.325987	8.694219	6.839787	7.48591	7.17361	7.315308	6.839771	7.383663	6.920714	7.261265	9.935074	7.345722	9.82123	11.077637	7.959595	8.27373	6.990339	7.477666	8.634675	7.959908	7.159518	6.728011	6.728011	6.950437	6.728011
29_blast_rep_1	29_blast_rep_1	blastula	ambient	12.830656	11.555394	12.933747	12.364471	11.229268	9.274069	8.775889	11.763219	12.555857	13.215076	12.861101	11.981597	11.858969	14.448891	13.992895	12.338101	10.880055	10.393523	13.851657	9.218172	8.223408	11.262644	11.609405	10.449937	10.443289	11.179044	11.445261	9.32896	11.601078	9.272566	9.094414	6.728011	8.584578	9.872639	11.284914	13.345721	10.707301	12.593411	12.28592	10.321644	12.054358	12.007853	10.815223	8.767201	8.079369	8.230253	7.357885	7.0023	6.728011	7.201784	10.378797	14.298361	11.42112	11.855712	12.896238	12.033314	9.715089	11.281934	11.501281	9.04015	10.825611	10.091835	11.266727	6.95208	7.296634	12.998742	6.886555
29_blast_rep_2	29_blast_rep_2	blastula	ambient	13.231779	11.97668	12.86961	13.137377	11.227406	9.321029	9.460994	11.776149	12.552637	13.532185	12.873384	12.195394	11.850035	14.759121	14.844607	13.056824	11.277249	9.412735	13.759864	10.177908	7.367413	10.865167	11.453806	10.629754	10.51778	11.007971	12.057981	9.310087	11.624366	7.892445	8.386815	6.942527	8.048004	9.784859	11.13756	13.725749	10.630634	12.840381	12.209078	10.687489	12.583157	12.351759	10.39371	8.36247	7.737468	7.401296	7.272612	7.181623	6.728011	7.251201	10.582365	14.99276	11.496391	11.984018	13.037475	12.584157	8.744297	12.258192	11.885001	8.483695	10.955739	10.526902	11.741436	6.990622	7.031355	13.559434	7.098944
29_blast_rep_3	29_blast_rep_3	blastula	ambient	12.777393	11.992943	13.064415	12.049577	10.759935	9.392405	8.962479	11.615949	12.681135	13.061176	12.768613	12.311577	12.460703	14.540812	14.428164	12.726884	10.743043	10.258562	13.625095	9.290265	8.162608	11.16368	11.303026	10.582474	10.168319	11.504162	11.412518	9.374161	11.578654	9.124986	8.835582	7.650784	8.862722	9.465663	11.909122	12.69706	10.872158	13.00355	12.301723	10.013836	12.128673	11.72884	10.55262	8.540199	7.755945	8.271526	7.780616	6.962402	6.893887	7.29917	10.716121	14.279154	11.792025	11.355882	13.007592	12.190669	9.980048	10.699399	10.75212	9.182939	10.836104	10.301842	11.1965	7.059129	7.015153	13.174837	6.728011
29_gast_rep_1	29_gast_rep_1	gastrula	ambient	13.446841	11.381573	12.307487	12.115857	10.816028	9.95143	8.56241	11.232189	11.788093	13.061449	13.638835	12.482912	13.515882	13.661804	13.240169	12.275083	10.929432	10.351636	13.508174	10.200295	11.788377	11.598659	11.18587	10.233547	10.267287	12.083787	11.589127	8.741984	10.459528	10.302287	10.632693	8.000081	9.248587	9.365804	14.124421	12.417434	9.77067	12.898836	11.210977	10.857967	13.041372	11.512115	10.613742	8.815083	7.758223	10.197078	7.953919	7.85159	7.570702	8.383452	12.022835	14.78877	10.896023	11.579896	12.238843	11.065606	11.187688	11.656158	11.829769	9.9105	10.314791	11.195356	11.27743	9.555821	9.408761	13.17189	7.120407
29_gast_rep_2	29_gast_rep_2	gastrula	ambient	14.073371	11.853819	12.025533	12.254796	10.978648	9.48686	9.258723	11.423052	11.815037	13.115212	13.407009	12.7866	14.098418	13.70865	14.016066	12.880138	10.960465	10.565872	13.541908	10.825967	10.632886	11.482839	10.914422	10.182617	10.548262	12.694296	11.653772	8.666592	10.275234	9.490994	10.66391	6.868679	8.733673	9.827293	14.100349	12.710525	10.079177	12.961188	11.278288	10.28602	13.063959	11.769196	10.701152	8.959028	7.171463	9.869104	7.252074	7.95704	6.926924	7.526371	12.198158	15.531056	10.977529	12.231821	12.173608	11.4115	9.301373	12.573912	11.507444	9.666534	10.640982	9.749842	11.773218	8.387094	8.266115	13.904554	7.071954
29_gast_rep_3	29_gast_rep_3	gastrula	ambient	13.244375	11.274727	12.381506	11.531919	11.099319	9.796977	8.979406	11.468911	11.94806	12.867866	13.896312	11.61228	13.65393	13.711608	13.337049	12.368629	10.661781	10.376798	13.543645	9.692495	11.342306	11.377333	11.233902	10.854277	10.079865	11.962831	11.37688	8.99046	11.02988	10.503784	10.056212	7.87247	9.435471	9.46395	14.571664	12.244034	10.22641	13.046589	11.743619	10.854638	12.643633	11.788293	10.628927	8.764515	7.746388	10.172174	8.517711	7.83016	7.95767	7.88448	11.791495	14.570599	11.406702	11.521387	12.545703	11.16085	10.714052	10.926879	11.140927	9.704587	10.627062	10.746004	11.134349	9.342651	8.703602	13.078635	7.051415
29_larv_rep_1	29_larv_rep_1	larvae	ambient	13.322525	9.907671	10.354451	10.975492	9.976907	11.740772	7.515881	9.35228	10.987825	11.916536	14.600533	10.276504	14.958522	13.401913	10.483005	8.440559	10.241737	10.443012	13.091393	11.259868	12.845906	11.654374	11.096356	10.241763	8.143187	13.914513	12.054689	8.85535	10.716399	11.545713	9.251366	9.987379	9.908886	8.469663	14.608477	12.180045	10.521615	11.096446	10.660286	11.349693	13.253302	10.545787	9.951284	8.797031	10.796212	10.451314	9.87457	9.87077	8.657319	9.953942	12.974909	14.227003	11.31653	13.015134	12.694045	10.695025	10.08127	10.89815	11.951681	10.592467	10.840882	10.69389	11.511954	10.80568	10.536814	12.862363	8.729761
