Gene Name,Signal,Cluster Assignment (L.v.),Membership Score (L.v.),Cluster Assignment (H.t.),Membership Score (H.t.),Cluster Assignment (H.e.),Membership Score (H.e.)
Blimp1,Conserved,6,0.50318308,6,0.98546224,6,0.93761127
Bmp2/4,Conserved,6,0.99516247,6,0.97758674,6,0.96854582
Bra/Bra_1,Conserved,6,0.98056009,6,0.99113169,6,0.98198816
Cabpf/Endo16,Conserved,6,0.91493884,6,0.97262108,6,0.98036114
Chordin,Conserved,6,0.93661748,6,0.99155408,6,0.97188511
Cycpln/Cyp,Conserved,6,0.96598883,6,0.61359607,6,0.98768512
Delta,Conserved,6,0.95812461,6,0.96415797,6,0.42231303
E2f3,Conserved,6,0.89047883,6,0.99300313,6,0.98243837
Emx,Conserved,6,0.99246408,6,0.97291054,6,0.97472381
Erg,Conserved,6,0.97014824,6,0.99376325,6,0.98037412
Ese,Conserved,6,0.97877256,6,0.61168725,6,0.8071575
FoxA,Conserved,6,0.98046023,6,0.98979223,6,0.99165427
FoxF,Conserved,VLE,1,VLE,1,VLE,1
FoxG,Conserved,6,0.89800089,6,0.83924002,6,0.95567824
FoxY,Conserved,6,0.64001562,6,0.52168521,6,0.94399755
GataC,Conserved,6,0.9713211,6,0.98666039,6,0.83602431
Gatae,Conserved,6,0.44935761,6,0.97187939,6,0.98600277
Gcm,Conserved,6,0.84268958,6,0.96381417,6,0.80867683
hbn,Conserved,6,0.97398938,6,0.98893559,6,0.99402625
Hex,Conserved,6,0.9866957,6,0.98791437,6,0.96422486
Hox11/13b,Conserved,6,0.98790155,6,0.99244543,6,0.98659183
IrxA,Conserved,6,0.98748864,6,0.76552564,6,0.83530487
Lefty,Conserved,6,0.62688661,6,0.94648255,6,0.96467842
lim1,Conserved,6,0.94965062,6,0.82053383,6,0.99141614
Lox,Conserved,7,0.9670653,7,0.95155834,7,0.90030148
Msp130rel1,Conserved,6,0.86555605,6,0.87555133,6,0.51586535
Msxl,Conserved,6,0.94853563,6,0.95160503,6,0.57436799
Nk1,Conserved,6,0.68243912,6,0.98206828,6,0.9217735
Nk2-1,Conserved,6,0.99400837,6,0.98231039,6,0.96833245
Nkx2.2,Conserved,6,0.98020633,6,0.98519927,6,0.93469065
Nkx3.2,Conserved,3,0.36785311,3,0.46350721,3,0.37498848
Not,Conserved,6,0.80006293,6,0.92638007,6,0.97925858
p58-a,Conserved,6,0.98359255,6,0.98864916,6,0.86645153
Ployksl/pks1,Conserved,6,0.91930398,6,0.98579025,6,0.97510892
Six3,Conserved,6,0.973505,6,0.98319734,6,0.98158397
Sm27,Conserved,6,0.86502077,6,0.9796604,6,0.98341029
Sm50,Conserved,6,0.93474648,6,0.98085001,6,0.96993552
SoxE,Conserved,7,0.85964894,7,0.87909333,7,0.96934356
Sp5,Conserved,6,0.92209357,6,0.95739169,6,0.95862584
Tbx2-3,Conserved,6,0.98977985,6,0.99274463,6,0.9500623
Unc4-1,Conserved,7,0.8102765,7,0.94243817,7,0.64997007
Wnt1,Conserved,6,0.98930967,6,0.97794549,6,0.98636566
Wnt16,Conserved,6,0.55580026,6,0.94497333,6,0.80937677
Alx1,Diverged,6,0.28887752,1,0.50923898,7,0.49310263
atbf1,Diverged,5,0.52566728,4,0.43952054,7,0.68510431
egr/z60,Diverged,3,0.28147303,6,0.63840422,1,0.39137279
FoxN2/3,Diverged,6,0.97578774,2,0.85265892,5,0.53494107
Hh,Diverged,7,0.83601784,6,0.95730833,VLE,1
Hnf6,Diverged,7,0.82883067,3,0.36909932,4,0.36417578
lasp1,Diverged,4,0.59672652,7,0.57899849,3,0.91001755
Notch,Diverged,3,0.39130097,2,0.89498855,5,0.24751171
P16rel1,Diverged,7,0.57333815,6,0.97797266,VLE,1
Patched,Diverged,6,0.90306664,1,0.78547344,2,0.67856401
Sip1,Diverged,2,0.88591187,6,0.97883456,4,0.64703308
Smooth,Diverged,2,0.76147409,6,0.49297318,7,0.35541578
Wnt10,Diverged,7,0.94852549,6,0.6014759,VLE,1
cdx,Genus Change,7,0.82852896,VLE,1,VLE,1
ets4,Genus Change,3,0.78602732,2,0.49306807,2,0.85477616
FoxQ2/FoxQ2_1,Genus Change,5,0.63960569,6,0.46605688,6,0.99254296
