Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
EL_29_4_C1_S49_L005_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	pass	36618721.0	pass	fail	warn	44.0	45.7760806214	EL_29_4_C1_S49_L005_R1_001.fastq.gz	warn	pass
EL_29_4_C2_S57_L005_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	33184431.0	pass	fail	warn	45.0	45.6907822671	EL_29_4_C2_S57_L005_R1_001.fastq.gz	warn	pass
EL_29_4_C3_S64_L006_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	40595657.0	pass	fail	warn	43.0	45.3891572565	EL_29_4_C3_S64_L006_R1_001.fastq.gz	warn	pass
EL_29_B1_S2_L001_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	28809204.0	pass	fail	warn	43.0	45.4691542221	EL_29_B1_S2_L001_R1_001.fastq.gz	warn	pass
EL_29_B2_S10_L001_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	31878538.0	pass	fail	warn	44.0	43.4489632524	EL_29_B2_S10_L001_R1_001.fastq.gz	warn	pass
EL_29_B3_S18_L002_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	25922081.0	pass	fail	warn	45.0	40.0035123137	EL_29_B3_S18_L002_R1_001.fastq.gz	warn	pass
EL_29_G1_S50_L005_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	29090693.0	pass	fail	warn	44.0	47.1848114781	EL_29_G1_S50_L005_R1_001.fastq.gz	warn	pass
EL_29_G2_S58_L005_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	31637073.0	pass	fail	warn	44.0	47.1325075157	EL_29_G2_S58_L005_R1_001.fastq.gz	warn	pass
EL_29_G3_S65_L006_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	44244853.0	pass	fail	fail	44.0	42.4918146654	EL_29_G3_S65_L006_R1_001.fastq.gz	warn	pass
EL_29_L1_S3_L001_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	28623950.0	pass	fail	warn	44.0	46.358746532	EL_29_L1_S3_L001_R1_001.fastq.gz	warn	pass
EL_29_L2_S11_L001_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	28156901.0	pass	fail	warn	44.0	47.7307800055	EL_29_L2_S11_L001_R1_001.fastq.gz	warn	pass
EL_29_L3_S19_L002_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	34181218.0	pass	fail	warn	43.0	47.2851581188	EL_29_L3_S19_L002_R1_001.fastq.gz	warn	pass
EL_33_4_C1_S25_L003_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	31538466.0	pass	fail	warn	44.0	47.0810280491	EL_33_4_C1_S25_L003_R1_001.fastq.gz	pass	pass
