Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
EL_29_4_C1_S49_L005_R1_001	54.2239193786	101.0	36618721.0	25.0	44.0
EL_29_4_C2_S57_L005_R1_001	54.3092177329	101.0	33184431.0	25.0	45.0
EL_29_4_C3_S64_L006_R1_001	54.6108427435	101.0	40595657.0	25.0	43.0
EL_29_B1_S2_L001_R1_001	54.5308457779	101.0	28809204.0	25.0	43.0
EL_29_B2_S10_L001_R1_001	56.5510367476	101.0	31878538.0	25.0	44.0
EL_29_B3_S18_L002_R1_001	59.9964876863	101.0	25922081.0	25.0	45.0
EL_29_G1_S50_L005_R1_001	52.8151885219	101.0	29090693.0	25.0	44.0
EL_29_G2_S58_L005_R1_001	52.8674924843	101.0	31637073.0	25.0	44.0
EL_29_G3_S65_L006_R1_001	57.5081853346	101.0	44244853.0	33.3333333333	44.0
EL_29_L1_S3_L001_R1_001	53.641253468	101.0	28623950.0	25.0	44.0
EL_29_L2_S11_L001_R1_001	52.2692199945	101.0	28156901.0	25.0	44.0
EL_29_L3_S19_L002_R1_001	52.7148418812	101.0	34181218.0	25.0	43.0
EL_33_4_C1_S25_L003_R1_001	52.9189719509	101.0	31538466.0	25.0	44.0
EL_33_4_C2_S33_L003_R1_001	52.4153167001	101.0	30280834.0	25.0	45.0
EL_33_4_C3_S41_L004_R1_001	50.2262280169	101.0	27024686.0	25.0	43.0
EL_33_B1_S72_L007_R1_001	52.6395647543	101.0	30278465.0	33.3333333333	44.0
EL_33_B2_S79_L007_R1_001	53.0177471266	101.0	28078241.0	33.3333333333	43.0
EL_33_B3_S85_L008_R1_001	55.5518333744	101.0	33099407.0	25.0	44.0
EL_33_G1_S26_L003_R1_001	53.2208344232	101.0	28303231.0	25.0	44.0
EL_33_G2_S34_L003_R1_001	52.7464432166	101.0	28241548.0	25.0	44.0
EL_33_G3_S42_L004_R1_001	63.2819210221	101.0	30971716.0	25.0	45.0
EL_33_L1_S73_L007_R1_001	54.1690998293	101.0	31963741.0	41.6666666667	44.0
EL_33_L2_S80_L007_R1_001	56.7333944277	101.0	37933339.0	41.6666666667	44.0
EL_33_L3_S86_L008_R1_001	55.0748700029	101.0	41480497.0	33.3333333333	43.0
EL_EGGS_1_S1_L001_R1_001	53.4247524867	101.0	28345942.0	25.0	43.0
EL_EGGS_2_S9_L001_R1_001	56.6547423784	101.0	31421146.0	25.0	44.0
EL_EGGS_3_S17_L002_R1_001	54.9550223327	101.0	28612659.0	33.3333333333	43.0
