Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
EV_29_4C1_S4_L001_R1_001	54.7011809573	101.0	26346820.0	25.0	44.0
EV_29_4C2_S12_L001_R1_001	53.7294566197	101.0	30092470.0	25.0	44.0
EV_29_4C3_S20_L002_R1_001	53.8311442296	101.0	29991608.0	25.0	45.0
EV_29_B1_S52_L005_R1_001	65.4145167768	101.0	29039021.0	25.0	45.0
EV_29_B2_S60_L005_R1_001	55.8540286375	101.0	28828038.0	25.0	44.0
EV_29_B3_S67_L006_R1_001	56.8513812102	101.0	27590978.0	25.0	44.0
EV_29_G1_S5_L001_R1_001	55.1411150564	101.0	31900927.0	25.0	44.0
EV_29_G2_S13_L002_R1_001	55.5549898751	101.0	32316818.0	25.0	44.0
EV_29_G3_S21_L002_R1_001	56.5217505441	101.0	34236081.0	25.0	44.0
EV_29_L1_S53_L005_R1_001	54.2340865688	101.0	28913176.0	25.0	44.0
EV_29_L2_S61_L006_R1_001	55.4140596842	101.0	31088624.0	25.0	43.0
EV_29_L3_S68_L006_R1_001	55.1102702926	101.0	27128763.0	25.0	44.0
EV_33_4C1_S74_L007_R1_001	55.4810232202	101.0	35951662.0	41.6666666667	44.0
EV_33_4C2_S81_L007_R1_001	53.7545580569	101.0	36793617.0	33.3333333333	43.0
EV_33_4C3_S87_L008_R1_001	55.2335686296	101.0	30054472.0	25.0	44.0
EV_33_B1_S28_L003_R1_001	53.0699996567	101.0	25747991.0	25.0	44.0
EV_33_B2_S36_L003_R1_001	57.1400968795	101.0	31191425.0	25.0	44.0
EV_33_B3_S44_L004_R1_001	54.052976355	101.0	28151827.0	25.0	44.0
EV_33_G1_S29_L003_R1_001	55.1266267953	101.0	29475569.0	25.0	44.0
EV_33_G1_S29_L007_R1_001	55.3815325376	101.0	35913572.0	33.3333333333	44.0
EV_33_G2_S37_L004_R1_001	55.7065660223	101.0	26748965.0	25.0	44.0
EV_33_G2_S37_L008_R1_001	55.1875189837	101.0	30661097.0	25.0	44.0
EV_33_G3_S45_L004_R1_001	55.7649011297	101.0	30676088.0	25.0	44.0
EV_33_G3_S45_L008_R1_001	55.9967524057	101.0	34651721.0	25.0	44.0
EV_EGGS_1_S51_L005_R1_001	59.4341971805	101.0	30822919.0	25.0	44.0
EV_EGGS_2_S59_L005_R1_001	63.7181167265	101.0	29843012.0	33.3333333333	44.0
EV_EGGS_3_S66_L006_R1_001	59.429471595	101.0	35161537.0	33.3333333333	45.0
EV_EGG_1_S6_L001_R1_001	56.1998686048	101.0	23875009.0	25.0	44.0
EV_EGG_2_S14_L002_R1_001	69.4475315077	101.0	27448914.0	33.3333333333	44.0
EV_EGG_3_S22_L002_R1_001	70.0673452528	101.0	29146767.0	41.6666666667	43.0
