Module	Section	Sample Name	Source
FastQC	all_sections	EV_33_4C1_S74_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_4C1_S74_L007_R1_001_fastqc.zip
FastQC	all_sections	EV_29_4C1_S4_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_4C1_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	EV_33_G2_S37_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_G2_S37_L004_R1_001_fastqc.zip
FastQC	all_sections	EV_29_G2_S13_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_G2_S13_L002_R1_001_fastqc.zip
FastQC	all_sections	EV_33_4C2_S81_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_4C2_S81_L007_R1_001_fastqc.zip
FastQC	all_sections	EV_33_B2_S36_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_B2_S36_L003_R1_001_fastqc.zip
FastQC	all_sections	EV_EGGS_3_S66_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_EGGS_3_S66_L006_R1_001_fastqc.zip
FastQC	all_sections	EV_33_G3_S45_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_G3_S45_L008_R1_001_fastqc.zip
FastQC	all_sections	EV_33_G3_S45_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_G3_S45_L004_R1_001_fastqc.zip
FastQC	all_sections	EV_33_B3_S44_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_B3_S44_L004_R1_001_fastqc.zip
FastQC	all_sections	EV_33_G1_S29_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_G1_S29_L003_R1_001_fastqc.zip
FastQC	all_sections	EV_33_4C3_S87_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_4C3_S87_L008_R1_001_fastqc.zip
FastQC	all_sections	EV_29_L3_S68_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_L3_S68_L006_R1_001_fastqc.zip
FastQC	all_sections	EV_EGGS_2_S59_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_EGGS_2_S59_L005_R1_001_fastqc.zip
FastQC	all_sections	EV_29_L1_S53_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_L1_S53_L005_R1_001_fastqc.zip
FastQC	all_sections	EV_29_4C3_S20_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_4C3_S20_L002_R1_001_fastqc.zip
FastQC	all_sections	EV_29_B2_S60_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_B2_S60_L005_R1_001_fastqc.zip
FastQC	all_sections	EV_29_4C2_S12_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_4C2_S12_L001_R1_001_fastqc.zip
FastQC	all_sections	EV_33_B1_S28_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_B1_S28_L003_R1_001_fastqc.zip
FastQC	all_sections	EV_29_G1_S5_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_G1_S5_L001_R1_001_fastqc.zip
FastQC	all_sections	EV_EGG_2_S14_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_EGG_2_S14_L002_R1_001_fastqc.zip
FastQC	all_sections	EV_EGGS_1_S51_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_EGGS_1_S51_L005_R1_001_fastqc.zip
FastQC	all_sections	EV_29_B3_S67_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_B3_S67_L006_R1_001_fastqc.zip
FastQC	all_sections	EV_29_B1_S52_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_B1_S52_L005_R1_001_fastqc.zip
FastQC	all_sections	EV_33_G2_S37_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_G2_S37_L008_R1_001_fastqc.zip
FastQC	all_sections	EV_EGG_1_S6_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_EGG_1_S6_L001_R1_001_fastqc.zip
FastQC	all_sections	EV_29_L2_S61_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_L2_S61_L006_R1_001_fastqc.zip
FastQC	all_sections	EV_33_G1_S29_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_33_G1_S29_L007_R1_001_fastqc.zip
FastQC	all_sections	EV_29_G3_S21_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_29_G3_S21_L002_R1_001_fastqc.zip
FastQC	all_sections	EV_EGG_3_S22_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EV-before/EV_EGG_3_S22_L002_R1_001_fastqc.zip
