Module	Section	Sample Name	Source
FastQC	all_sections	HY_33_BA_S76_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_BA_S76_L007_R1_001_fastqc.zip
FastQC	all_sections	HY_29_4CB_S62_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_4CB_S62_L006_R1_001_fastqc.zip
FastQC	all_sections	HY_29_GB_S63_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_GB_S63_L006_R1_001_fastqc.zip
FastQC	all_sections	HY_29_BC_S23_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_BC_S23_L002_R1_001_fastqc.zip
FastQC	all_sections	HY_29_BA_S7_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_BA_S7_L001_R1_001_fastqc.zip
FastQC	all_sections	HY_33_GB_S39_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_GB_S39_L004_R1_001_fastqc.zip
FastQC	all_sections	HY_29_GA_S55_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_GA_S55_L005_R1_001_fastqc.zip
FastQC	all_sections	HY_33_BC_S89_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_BC_S89_L008_R1_001_fastqc.zip
FastQC	all_sections	HY_29_4CC_S69_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_4CC_S69_L006_R1_001_fastqc.zip
FastQC	all_sections	HY_29_4CA_S54_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_4CA_S54_L005_R1_001_fastqc.zip
FastQC	all_sections	HY_29_LA_S8_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_LA_S8_L001_R1_001_fastqc.zip
FastQC	all_sections	HY_33_BB_S83_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_BB_S83_L008_R1_001_fastqc.zip
FastQC	all_sections	HY_33_LC_S90_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_LC_S90_L008_R1_001_fastqc.zip
FastQC	all_sections	HY_29_LB_S16_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_LB_S16_L002_R1_001_fastqc.zip
FastQC	all_sections	HY_29_GC_S70_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_GC_S70_L006_R1_001_fastqc.zip
FastQC	all_sections	HY_33_GA_S31_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_GA_S31_L003_R1_001_fastqc.zip
FastQC	all_sections	HY_29_LC_S24_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_LC_S24_L002_R1_001_fastqc.zip
FastQC	all_sections	HY_33_4CC_S46_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_4CC_S46_L004_R1_001_fastqc.zip
FastQC	all_sections	HY_33_GC_S47_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_GC_S47_L004_R1_001_fastqc.zip
FastQC	all_sections	HY_29_BB_S15_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_BB_S15_L002_R1_001_fastqc.zip
FastQC	all_sections	HY_29_G_B_S91_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_29_G_B_S91_L008_R1_001_fastqc.zip
FastQC	all_sections	HY_33_4CB_S38_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_4CB_S38_L004_R1_001_fastqc.zip
FastQC	all_sections	HY_33_LA_S77_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_LA_S77_L007_R1_001_fastqc.zip
FastQC	all_sections	HY_33_4CA_S30_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/HY-before/HY_33_4CA_S30_L003_R1_001_fastqc.zip
