Module	Section	Sample Name	Source
FastQC	all_sections	EL_29_G1_S50_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_G1_S50_L005_R1_001_fastqc.zip
FastQC	all_sections	EL_EGGS_2_S9_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_EGGS_2_S9_L001_R1_001_fastqc.zip
FastQC	all_sections	EL_EGGS_1_S1_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_EGGS_1_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	EL_33_L3_S86_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_L3_S86_L008_R1_001_fastqc.zip
FastQC	all_sections	EL_33_B3_S85_L008_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_B3_S85_L008_R1_001_fastqc.zip
FastQC	all_sections	EL_29_B1_S2_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_B1_S2_L001_R1_001_fastqc.zip
FastQC	all_sections	EL_29_4_C1_S49_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_4_C1_S49_L005_R1_001_fastqc.zip
FastQC	all_sections	EL_29_4_C2_S57_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_4_C2_S57_L005_R1_001_fastqc.zip
FastQC	all_sections	EL_29_L1_S3_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_L1_S3_L001_R1_001_fastqc.zip
FastQC	all_sections	EL_33_G2_S34_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_G2_S34_L003_R1_001_fastqc.zip
FastQC	all_sections	EL_29_G2_S58_L005_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_G2_S58_L005_R1_001_fastqc.zip
FastQC	all_sections	EL_33_B2_S79_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_B2_S79_L007_R1_001_fastqc.zip
FastQC	all_sections	EL_33_4_C2_S33_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_4_C2_S33_L003_R1_001_fastqc.zip
FastQC	all_sections	EL_29_L3_S19_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_L3_S19_L002_R1_001_fastqc.zip
FastQC	all_sections	EL_33_G1_S26_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_G1_S26_L003_R1_001_fastqc.zip
FastQC	all_sections	EL_33_4_C3_S41_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_4_C3_S41_L004_R1_001_fastqc.zip
FastQC	all_sections	EL_29_4_C3_S64_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_4_C3_S64_L006_R1_001_fastqc.zip
FastQC	all_sections	EL_29_G3_S65_L006_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_G3_S65_L006_R1_001_fastqc.zip
FastQC	all_sections	EL_33_B1_S72_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_B1_S72_L007_R1_001_fastqc.zip
FastQC	all_sections	EL_EGGS_3_S17_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_EGGS_3_S17_L002_R1_001_fastqc.zip
FastQC	all_sections	EL_29_B2_S10_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_B2_S10_L001_R1_001_fastqc.zip
FastQC	all_sections	EL_33_L1_S73_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_L1_S73_L007_R1_001_fastqc.zip
FastQC	all_sections	EL_29_B3_S18_L002_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_B3_S18_L002_R1_001_fastqc.zip
FastQC	all_sections	EL_33_G3_S42_L004_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_G3_S42_L004_R1_001_fastqc.zip
FastQC	all_sections	EL_33_L2_S80_L007_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_L2_S80_L007_R1_001_fastqc.zip
FastQC	all_sections	EL_29_L2_S11_L001_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_29_L2_S11_L001_R1_001_fastqc.zip
FastQC	all_sections	EL_33_4_C1_S25_L003_R1_001	/data/pradalab/meschedl/Echinometra/data-QC/EL-before/EL_33_4_C1_S25_L003_R1_001_fastqc.zip
