Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
EV_29_4C1_S4_L001_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	26346820.0	pass	fail	warn	44.0	45.2988190427	EV_29_4C1_S4_L001_R1_001.fastq.gz	warn	pass
EV_29_4C2_S12_L001_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	30092470.0	pass	fail	warn	44.0	46.2705433803	EV_29_4C2_S12_L001_R1_001.fastq.gz	warn	pass
EV_29_4C3_S20_L002_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	29991608.0	pass	fail	warn	45.0	46.1688557704	EV_29_4C3_S20_L002_R1_001.fastq.gz	warn	pass
EV_29_B1_S52_L005_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	29039021.0	pass	fail	warn	45.0	34.5854832232	EV_29_B1_S52_L005_R1_001.fastq.gz	warn	pass
EV_29_B2_S60_L005_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	28828038.0	pass	fail	warn	44.0	44.1459713625	EV_29_B2_S60_L005_R1_001.fastq.gz	warn	pass
EV_29_B3_S67_L006_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	27590978.0	pass	fail	warn	44.0	43.1486187898	EV_29_B3_S67_L006_R1_001.fastq.gz	warn	pass
EV_29_G1_S5_L001_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	31900927.0	pass	fail	warn	44.0	44.8588849436	EV_29_G1_S5_L001_R1_001.fastq.gz	warn	pass
EV_29_G2_S13_L002_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	32316818.0	pass	fail	warn	44.0	44.4450101249	EV_29_G2_S13_L002_R1_001.fastq.gz	warn	pass
EV_29_G3_S21_L002_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	34236081.0	pass	fail	warn	44.0	43.4782494559	EV_29_G3_S21_L002_R1_001.fastq.gz	warn	pass
EV_29_L1_S53_L005_R1_001	pass	0.0	fail	101.0	Sanger / Illumina 1.9	fail	pass	pass	101.0	Conventional base calls	pass	warn	28913176.0	pass	fail	warn	44.0	45.7659134312	EV_29_L1_S53_L005_R1_001.fastq.gz	warn	pass
