Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
HY_29_4CA_S54_L005_R1_001	56.7006191577	101.0	24181040.0	25.0	45.0
HY_29_4CB_S62_L006_R1_001	56.2424312923	101.0	31598200.0	25.0	45.0
HY_29_4CC_S69_L006_R1_001	57.5590882985	101.0	31051434.0	25.0	44.0
HY_29_BA_S7_L001_R1_001	55.0014570699	101.0	34499002.0	25.0	44.0
HY_29_BB_S15_L002_R1_001	56.2397263084	101.0	30652424.0	25.0	45.0
HY_29_BC_S23_L002_R1_001	52.1567744818	101.0	30884052.0	25.0	44.0
HY_29_GA_S55_L005_R1_001	51.8563651214	101.0	31851011.0	25.0	44.0
HY_29_GB_S63_L006_R1_001	55.8146720492	101.0	24949622.0	25.0	46.0
HY_29_GC_S70_L006_R1_001	51.9776192055	101.0	31288998.0	25.0	43.0
HY_29_G_B_S91_L008_R1_001	51.603269152	101.0	26933716.0	25.0	44.0
HY_29_LA_S8_L001_R1_001	51.2387001815	101.0	33376147.0	25.0	43.0
HY_29_LB_S16_L002_R1_001	49.293987608	101.0	24105740.0	16.6666666667	44.0
HY_29_LC_S24_L002_R1_001	50.7384394405	101.0	28764066.0	25.0	44.0
HY_33_4CA_S30_L003_R1_001	53.5506069295	101.0	25145846.0	25.0	45.0
HY_33_4CB_S38_L004_R1_001	57.0636854545	101.0	31403947.0	25.0	45.0
HY_33_4CC_S46_L004_R1_001	60.5175517503	101.0	29739139.0	25.0	45.0
HY_33_BA_S76_L007_R1_001	59.3536725262	101.0	29131833.0	33.3333333333	46.0
HY_33_BB_S83_L008_R1_001	54.4031987375	101.0	37606429.0	33.3333333333	43.0
HY_33_BC_S89_L008_R1_001	52.3508550519	101.0	36037385.0	33.3333333333	43.0
HY_33_GA_S31_L003_R1_001	52.585827348	101.0	29710829.0	25.0	45.0
HY_33_GB_S39_L004_R1_001	53.328754831	101.0	34667713.0	33.3333333333	44.0
HY_33_GC_S47_L004_R1_001	48.9950695375	101.0	25074407.0	16.6666666667	43.0
HY_33_LA_S77_L007_R1_001	53.1623076225	101.0	30073312.0	33.3333333333	46.0
HY_33_LC_S90_L008_R1_001	2.89473684211	101.0	380.0	16.6666666667	44.0
