"","BlackGeneNames"
"1","TRINITY_DN2543_c0_g1"
"2","TRINITY_DN49_c0_g2"
"3","TRINITY_DN2527_c0_g1"
"4","TRINITY_DN475_c0_g1"
"5","TRINITY_DN9177_c0_g1"
"6","TRINITY_DN942_c0_g1"
"7","TRINITY_DN76_c0_g1"
"8","TRINITY_DN13452_c1_g1"
"9","TRINITY_DN3325_c0_g1"
"10","TRINITY_DN6370_c0_g1"
"11","TRINITY_DN848_c0_g1"
"12","TRINITY_DN786_c0_g1"
"13","TRINITY_DN10271_c0_g1"
"14","TRINITY_DN566_c0_g1"
"15","TRINITY_DN1944_c0_g1"
"16","TRINITY_DN3708_c0_g1"
"17","TRINITY_DN5092_c0_g1"
"18","TRINITY_DN6859_c1_g1"
"19","TRINITY_DN5433_c0_g1"
"20","TRINITY_DN1841_c0_g2"
"21","TRINITY_DN2427_c0_g1"
"22","TRINITY_DN3086_c0_g1"
"23","TRINITY_DN2385_c0_g1"
"24","TRINITY_DN1473_c0_g1"
"25","TRINITY_DN4036_c0_g1"
"26","TRINITY_DN7427_c0_g1"
"27","TRINITY_DN2872_c0_g1"
"28","TRINITY_DN15168_c0_g1"
"29","TRINITY_DN5857_c0_g1"
"30","TRINITY_DN17611_c0_g1"
"31","TRINITY_DN2006_c0_g1"
"32","TRINITY_DN435_c1_g1"
"33","TRINITY_DN3947_c0_g1"
"34","TRINITY_DN972_c0_g1"
"35","TRINITY_DN9641_c0_g1"
"36","TRINITY_DN4883_c0_g1"
"37","TRINITY_DN1025_c0_g1"
"38","TRINITY_DN1965_c0_g1"
"39","TRINITY_DN5317_c2_g1"
"40","TRINITY_DN2663_c0_g1"
"41","TRINITY_DN10338_c0_g1"
"42","TRINITY_DN12098_c0_g1"
"43","TRINITY_DN3164_c0_g1"
"44","TRINITY_DN9247_c1_g1"
"45","TRINITY_DN5830_c0_g1"
"46","TRINITY_DN2245_c0_g1"
"47","TRINITY_DN7661_c0_g1"
"48","TRINITY_DN39998_c0_g1"
"49","TRINITY_DN2006_c1_g1"
"50","TRINITY_DN1547_c0_g1"
"51","TRINITY_DN2617_c0_g1"
"52","TRINITY_DN1931_c0_g2"
"53","TRINITY_DN4396_c0_g1"
"54","TRINITY_DN2186_c0_g1"
"55","TRINITY_DN1511_c0_g1"
"56","TRINITY_DN610_c1_g1"
