"","BlueGeneNames"
"1","TRINITY_DN147_c0_g1"
"2","TRINITY_DN410_c0_g1"
"3","TRINITY_DN881_c0_g1"
"4","TRINITY_DN68_c0_g1"
"5","TRINITY_DN1076_c0_g1"
"6","TRINITY_DN254_c0_g1"
"7","TRINITY_DN656_c0_g1"
"8","TRINITY_DN325_c0_g1"
"9","TRINITY_DN1578_c0_g2"
"10","TRINITY_DN2633_c0_g1"
"11","TRINITY_DN908_c0_g1"
"12","TRINITY_DN172_c0_g1"
"13","TRINITY_DN5888_c0_g1"
"14","TRINITY_DN539_c0_g1"
"15","TRINITY_DN3715_c0_g1"
"16","TRINITY_DN1527_c2_g1"
"17","TRINITY_DN919_c0_g1"
"18","TRINITY_DN205_c0_g1"
"19","TRINITY_DN572_c1_g1"
"20","TRINITY_DN3022_c0_g1"
"21","TRINITY_DN77381_c0_g1"
"22","TRINITY_DN1391_c0_g1"
"23","TRINITY_DN3353_c0_g1"
"24","TRINITY_DN1958_c0_g1"
"25","TRINITY_DN3939_c0_g1"
"26","TRINITY_DN3827_c0_g1"
"27","TRINITY_DN4401_c0_g1"
"28","TRINITY_DN5767_c0_g1"
"29","TRINITY_DN14532_c0_g1"
"30","TRINITY_DN2287_c0_g1"
"31","TRINITY_DN1207_c0_g1"
"32","TRINITY_DN3794_c0_g1"
"33","TRINITY_DN3553_c0_g1"
"34","TRINITY_DN5823_c0_g1"
"35","TRINITY_DN6365_c0_g1"
"36","TRINITY_DN9360_c0_g1"
"37","TRINITY_DN4021_c0_g1"
"38","TRINITY_DN236_c0_g1"
"39","TRINITY_DN4588_c0_g1"
"40","TRINITY_DN809_c0_g1"
"41","TRINITY_DN5221_c0_g1"
"42","TRINITY_DN2065_c0_g1"
"43","TRINITY_DN1920_c0_g1"
"44","TRINITY_DN1679_c0_g1"
"45","TRINITY_DN519_c0_g1"
"46","TRINITY_DN3558_c0_g1"
"47","TRINITY_DN3842_c0_g1"
"48","TRINITY_DN978_c0_g1"
"49","TRINITY_DN17917_c0_g1"
"50","TRINITY_DN10_c0_g1"
"51","TRINITY_DN6411_c0_g1"
"52","TRINITY_DN887_c0_g1"
"53","TRINITY_DN1298_c0_g1"
