"","greenGeneNames"
"1","TRINITY_DN7648_c0_g1"
"2","TRINITY_DN16_c0_g1"
"3","TRINITY_DN115_c0_g1"
"4","TRINITY_DN5237_c0_g2"
"5","TRINITY_DN294_c0_g1"
"6","TRINITY_DN5711_c0_g1"
"7","TRINITY_DN36_c0_g1"
"8","TRINITY_DN2513_c0_g1"
"9","TRINITY_DN3110_c0_g1"
"10","TRINITY_DN9089_c0_g1"
"11","TRINITY_DN40_c0_g1"
"12","TRINITY_DN10632_c0_g1"
"13","TRINITY_DN2388_c0_g1"
"14","TRINITY_DN5368_c0_g1"
"15","TRINITY_DN1277_c0_g1"
"16","TRINITY_DN3062_c0_g1"
"17","TRINITY_DN1872_c0_g1"
"18","TRINITY_DN7861_c0_g1"
"19","TRINITY_DN1850_c0_g1"
"20","TRINITY_DN4281_c0_g1"
"21","TRINITY_DN1907_c0_g1"
"22","TRINITY_DN6041_c0_g1"
"23","TRINITY_DN803_c0_g1"
"24","TRINITY_DN2458_c0_g1"
"25","TRINITY_DN4908_c1_g1"
"26","TRINITY_DN686_c0_g1"
"27","TRINITY_DN12254_c1_g1"
"28","TRINITY_DN7098_c0_g1"
"29","TRINITY_DN3902_c1_g2"
"30","TRINITY_DN15545_c0_g1"
"31","TRINITY_DN7425_c0_g1"
"32","TRINITY_DN8864_c0_g1"
"33","TRINITY_DN14272_c0_g3"
"34","TRINITY_DN4328_c0_g1"
"35","TRINITY_DN6170_c0_g2"
"36","TRINITY_DN24130_c0_g1"
"37","TRINITY_DN16097_c0_g1"
"38","TRINITY_DN13350_c0_g1"
"39","TRINITY_DN4409_c0_g1"
"40","TRINITY_DN17010_c0_g1"
"41","TRINITY_DN6989_c0_g1"
"42","TRINITY_DN4328_c0_g2"
"43","TRINITY_DN7939_c0_g1"
"44","TRINITY_DN5856_c0_g1"
"45","TRINITY_DN19125_c0_g1"
"46","TRINITY_DN11033_c0_g1"
"47","TRINITY_DN18649_c0_g1"
"48","TRINITY_DN2619_c0_g2"
"49","TRINITY_DN10826_c0_g1"
"50","TRINITY_DN23763_c0_g1"
"51","TRINITY_DN3151_c0_g2"
"52","TRINITY_DN5046_c0_g1"
"53","TRINITY_DN17588_c0_g1"
"54","TRINITY_DN55_c1_g1"
"55","TRINITY_DN16705_c0_g1"
"56","TRINITY_DN9702_c0_g1"
"57","TRINITY_DN12430_c0_g1"
"58","TRINITY_DN7415_c0_g1"
"59","TRINITY_DN19416_c0_g1"
"60","TRINITY_DN17392_c0_g1"
"61","TRINITY_DN1474_c0_g1"
"62","TRINITY_DN28004_c0_g1"
"63","TRINITY_DN15189_c0_g1"
"64","TRINITY_DN10602_c0_g1"
"65","TRINITY_DN19390_c0_g1"
"66","TRINITY_DN11248_c0_g1"
"67","TRINITY_DN26466_c0_g1"
"68","TRINITY_DN24122_c0_g1"
"69","TRINITY_DN4661_c0_g1"
"70","TRINITY_DN7825_c0_g1"
"71","TRINITY_DN15961_c3_g1"
"72","TRINITY_DN37058_c0_g1"
"73","TRINITY_DN12053_c0_g1"
"74","TRINITY_DN8808_c0_g1"
"75","TRINITY_DN15379_c0_g1"
"76","TRINITY_DN9079_c0_g1"
"77","TRINITY_DN16688_c0_g1"
"78","TRINITY_DN15276_c0_g1"
"79","TRINITY_DN32701_c0_g1"
"80","TRINITY_DN2339_c0_g1"
"81","TRINITY_DN21060_c0_g1"
"82","TRINITY_DN14737_c0_g1"
"83","TRINITY_DN14482_c0_g1"
"84","TRINITY_DN5924_c0_g1"
"85","TRINITY_DN15944_c0_g1"
"86","TRINITY_DN28292_c0_g1"
"87","TRINITY_DN21316_c0_g1"
"88","TRINITY_DN30692_c0_g1"
"89","TRINITY_DN5924_c0_g2"
"90","TRINITY_DN28860_c0_g1"
"91","TRINITY_DN11394_c1_g1"
"92","TRINITY_DN18672_c0_g1"
"93","TRINITY_DN18503_c1_g1"
"94","TRINITY_DN32391_c0_g1"
"95","TRINITY_DN3362_c0_g1"
"96","TRINITY_DN14981_c1_g1"
"97","TRINITY_DN28034_c0_g1"
"98","TRINITY_DN22826_c0_g1"
"99","TRINITY_DN27867_c0_g1"
"100","TRINITY_DN16956_c0_g1"
"101","TRINITY_DN13068_c0_g1"
"102","TRINITY_DN1648_c0_g1"
"103","TRINITY_DN28410_c0_g1"
"104","TRINITY_DN12415_c0_g1"
"105","TRINITY_DN28818_c0_g1"
"106","TRINITY_DN36613_c0_g1"
"107","TRINITY_DN10003_c0_g1"
"108","TRINITY_DN3281_c1_g1"
"109","TRINITY_DN71008_c0_g1"
"110","TRINITY_DN6026_c1_g1"
"111","TRINITY_DN28245_c0_g1"
"112","TRINITY_DN14517_c0_g1"
"113","TRINITY_DN25229_c0_g1"
"114","TRINITY_DN10376_c0_g1"
"115","TRINITY_DN28932_c0_g1"
"116","TRINITY_DN33624_c0_g1"
"117","TRINITY_DN2163_c0_g1"
"118","TRINITY_DN110979_c0_g1"
"119","TRINITY_DN22202_c0_g1"
"120","TRINITY_DN20161_c0_g2"
"121","TRINITY_DN16916_c0_g1"
"122","TRINITY_DN23319_c0_g1"
"123","TRINITY_DN29210_c0_g1"
"124","TRINITY_DN21774_c0_g1"
