"","gyGeneNames"
"1","TRINITY_DN12118_c0_g1"
"2","TRINITY_DN11800_c0_g1"
"3","TRINITY_DN2529_c0_g1"
"4","TRINITY_DN5361_c0_g1"
"5","TRINITY_DN18129_c0_g1"
"6","TRINITY_DN4183_c0_g1"
"7","TRINITY_DN13778_c0_g1"
"8","TRINITY_DN21004_c0_g1"
"9","TRINITY_DN5589_c0_g1"
"10","TRINITY_DN6026_c0_g1"
"11","TRINITY_DN724_c0_g1"
"12","TRINITY_DN34545_c0_g1"
"13","TRINITY_DN26661_c0_g1"
"14","TRINITY_DN20421_c0_g1"
"15","TRINITY_DN12500_c0_g1"
"16","TRINITY_DN27063_c0_g1"
"17","TRINITY_DN20007_c0_g1"
"18","TRINITY_DN20978_c1_g1"
"19","TRINITY_DN7047_c0_g1"
"20","TRINITY_DN20078_c0_g1"
"21","TRINITY_DN54641_c0_g1"
"22","TRINITY_DN7856_c0_g1"
"23","TRINITY_DN20387_c0_g1"
"24","TRINITY_DN11973_c0_g1"
"25","TRINITY_DN38164_c0_g1"
"26","TRINITY_DN22641_c0_g1"
"27","TRINITY_DN9335_c0_g1"
"28","TRINITY_DN3992_c0_g1"
"29","TRINITY_DN6192_c0_g1"
"30","TRINITY_DN1044_c1_g2"
"31","TRINITY_DN837_c0_g1"
"32","TRINITY_DN35017_c0_g1"
"33","TRINITY_DN18533_c0_g1"
"34","TRINITY_DN48857_c0_g1"
"35","TRINITY_DN8972_c0_g1"
"36","TRINITY_DN21082_c0_g1"
"37","TRINITY_DN7497_c1_g1"
