"","redGeneNames"
"1","TRINITY_DN688_c0_g1"
"2","TRINITY_DN1986_c0_g1"
"3","TRINITY_DN1882_c0_g1"
"4","TRINITY_DN6316_c0_g1"
"5","TRINITY_DN3588_c0_g1"
"6","TRINITY_DN14_c0_g1"
"7","TRINITY_DN177_c0_g1"
"8","TRINITY_DN7905_c0_g1"
"9","TRINITY_DN21579_c0_g1"
"10","TRINITY_DN55_c6_g1"
"11","TRINITY_DN18378_c0_g1"
"12","TRINITY_DN1479_c0_g1"
"13","TRINITY_DN4454_c0_g1"
"14","TRINITY_DN3629_c0_g1"
"15","TRINITY_DN4155_c0_g1"
"16","TRINITY_DN6013_c0_g2"
"17","TRINITY_DN4147_c0_g1"
"18","TRINITY_DN2092_c0_g1"
"19","TRINITY_DN439_c0_g1"
"20","TRINITY_DN13730_c0_g1"
"21","TRINITY_DN4581_c0_g1"
"22","TRINITY_DN2311_c0_g1"
"23","TRINITY_DN112_c0_g1"
"24","TRINITY_DN1543_c0_g1"
"25","TRINITY_DN782_c0_g1"
"26","TRINITY_DN361_c0_g1"
"27","TRINITY_DN8213_c0_g1"
"28","TRINITY_DN1863_c0_g1"
"29","TRINITY_DN234_c0_g1"
"30","TRINITY_DN31461_c0_g1"
"31","TRINITY_DN5130_c2_g1"
"32","TRINITY_DN15625_c0_g1"
"33","TRINITY_DN8693_c0_g1"
"34","TRINITY_DN3930_c0_g1"
"35","TRINITY_DN3266_c0_g1"
"36","TRINITY_DN2878_c0_g1"
"37","TRINITY_DN7279_c0_g1"
"38","TRINITY_DN3637_c0_g1"
"39","TRINITY_DN5076_c0_g1"
"40","TRINITY_DN2290_c0_g1"
"41","TRINITY_DN4633_c1_g2"
"42","TRINITY_DN15719_c0_g1"
"43","TRINITY_DN8801_c0_g2"
"44","TRINITY_DN3016_c0_g1"
"45","TRINITY_DN12077_c0_g1"
"46","TRINITY_DN3175_c0_g1"
"47","TRINITY_DN1742_c0_g1"
"48","TRINITY_DN731_c0_g1"
"49","TRINITY_DN4490_c0_g1"
"50","TRINITY_DN13035_c1_g1"
"51","TRINITY_DN4417_c0_g1"
"52","TRINITY_DN37_c0_g1"
"53","TRINITY_DN415_c0_g1"
"54","TRINITY_DN513_c0_g1"
"55","TRINITY_DN6013_c0_g1"
"56","TRINITY_DN1946_c0_g1"
"57","TRINITY_DN1586_c0_g1"
"58","TRINITY_DN5541_c0_g1"
"59","TRINITY_DN2579_c1_g1"
"60","TRINITY_DN11752_c0_g1"
"61","TRINITY_DN4119_c0_g1"
"62","TRINITY_DN1393_c0_g1"
"63","TRINITY_DN74377_c0_g2"
"64","TRINITY_DN663_c0_g1"
"65","TRINITY_DN775_c1_g1"
"66","TRINITY_DN79_c0_g1"
"67","TRINITY_DN2578_c0_g1"
"68","TRINITY_DN1760_c0_g1"
"69","TRINITY_DN7852_c0_g1"
"70","TRINITY_DN17509_c0_g2"
"71","TRINITY_DN1224_c0_g1"
"72","TRINITY_DN3317_c0_g1"
"73","TRINITY_DN4931_c0_g1"
"74","TRINITY_DN1693_c0_g1"
"75","TRINITY_DN5935_c0_g1"
