"","turqGeneNames"
"1","TRINITY_DN506_c0_g1"
"2","TRINITY_DN2349_c0_g1"
"3","TRINITY_DN3920_c0_g1"
"4","TRINITY_DN3628_c0_g1"
"5","TRINITY_DN1818_c0_g1"
"6","TRINITY_DN386_c0_g1"
"7","TRINITY_DN3101_c0_g1"
"8","TRINITY_DN88_c0_g1"
"9","TRINITY_DN3828_c0_g1"
"10","TRINITY_DN6826_c0_g1"
"11","TRINITY_DN996_c0_g1"
"12","TRINITY_DN3061_c0_g1"
"13","TRINITY_DN210_c0_g1"
"14","TRINITY_DN30130_c0_g1"
"15","TRINITY_DN1906_c0_g2"
"16","TRINITY_DN7137_c0_g1"
"17","TRINITY_DN13192_c0_g1"
"18","TRINITY_DN410_c1_g1"
"19","TRINITY_DN2916_c0_g1"
"20","TRINITY_DN13617_c0_g1"
"21","TRINITY_DN7399_c0_g1"
"22","TRINITY_DN24180_c0_g1"
"23","TRINITY_DN3350_c0_g1"
"24","TRINITY_DN1367_c0_g1"
"25","TRINITY_DN18621_c0_g1"
"26","TRINITY_DN441_c0_g1"
"27","TRINITY_DN78_c0_g1"
"28","TRINITY_DN6850_c0_g1"
"29","TRINITY_DN10131_c0_g1"
"30","TRINITY_DN11569_c0_g1"
"31","TRINITY_DN7565_c1_g1"
"32","TRINITY_DN501_c0_g1"
"33","TRINITY_DN4402_c0_g1"
"34","TRINITY_DN14992_c0_g1"
"35","TRINITY_DN3363_c0_g1"
"36","TRINITY_DN2834_c0_g1"
"37","TRINITY_DN19352_c0_g1"
"38","TRINITY_DN5281_c0_g1"
"39","TRINITY_DN5630_c0_g1"
"40","TRINITY_DN3338_c0_g1"
"41","TRINITY_DN20_c0_g1"
"42","TRINITY_DN5801_c1_g1"
"43","TRINITY_DN3217_c0_g1"
"44","TRINITY_DN18924_c0_g1"
"45","TRINITY_DN7087_c0_g1"
"46","TRINITY_DN1067_c0_g1"
"47","TRINITY_DN113219_c0_g1"
"48","TRINITY_DN1464_c0_g1"
"49","TRINITY_DN807_c0_g1"
"50","TRINITY_DN32840_c0_g1"
"51","TRINITY_DN4046_c0_g1"
"52","TRINITY_DN5287_c0_g1"
"53","TRINITY_DN3675_c0_g1"
"54","TRINITY_DN135_c0_g1"
