Orthogroup	LORF_EL90.pep	SPU_peptide
OG0000000	TRINITY_DN56081_c1_g2_i2.p1, TRINITY_DN56081_c1_g3_i1.p1, TRINITY_DN56081_c1_g1_i1.p1	SPU_027035, SPU_004012, SPU_027207
OG0000000	TRINITY_DN56081_c0_g1_i2.p1, TRINITY_DN56081_c0_g1_i5.p1	SPU_023183, SPU_022564, SPU_002888, SPU_008707, SPU_026036, SPU_008498, SPU_000863, SPU_018384, SPU_025179, SPU_016759, SPU_003303, SPU_003553, SPU_015033, SPU_003539, SPU_003247, SPU_006610, SPU_022001, SPU_005383, SPU_003797, SPU_017505, SPU_009659, SPU_013038, SPU_016060
OG0000001	TRINITY_DN108939_c0_g1_i1.p1	SPU_027574, SPU_019249
OG0000001	TRINITY_DN10826_c0_g1_i6.p1	SPU_009978, SPU_019937, SPU_018594, SPU_001189, SPU_018839, SPU_007888, SPU_007889, SPU_027473, SPU_012635, SPU_020572, SPU_020571, SPU_009630, SPU_006586, SPU_008153, SPU_017855, SPU_024683, SPU_017108, SPU_024682, SPU_002327, SPU_011979, SPU_013146, SPU_010581, SPU_009699, SPU_011131, SPU_013233
OG0000002	TRINITY_DN17786_c0_g1_i2.p1, TRINITY_DN17786_c0_g1_i5.p1	SPU_001711, SPU_010740, SPU_015261, SPU_000464, SPU_014175, SPU_002486, SPU_002905, SPU_002772, SPU_007666, SPU_005645, SPU_007820, SPU_009181, SPU_015741, SPU_002828, SPU_003576, SPU_024346, SPU_014085, SPU_000892, SPU_000474, SPU_016236, SPU_013389, SPU_012142, SPU_006563, SPU_013690, SPU_015560
OG0000003	TRINITY_DN49892_c0_g1_i11.p1, TRINITY_DN35058_c0_g1_i6.p1	SPU_002006
OG0000003	TRINITY_DN114943_c0_g1_i1.p1, TRINITY_DN78128_c0_g1_i1.p1	SPU_006615, SPU_024458, SPU_014485, SPU_004512, SPU_011749, SPU_025668, SPU_017740, SPU_017796, SPU_011209, SPU_005027, SPU_009792, SPU_008171, SPU_005928, SPU_028745, SPU_024663, SPU_012154, SPU_001384, SPU_020858, SPU_024457, SPU_017739, SPU_019220
OG0000004	TRINITY_DN6826_c0_g1_i2.p2	SPU_005591, SPU_002794, SPU_022072, SPU_012389, SPU_001725, SPU_000685, SPU_002699, SPU_007762, SPU_008489, SPU_007705, SPU_003064, SPU_007314, SPU_002504, SPU_024342, SPU_007953, SPU_006061, SPU_005173, SPU_000768, SPU_005704, SPU_005210, SPU_007489, SPU_005424, SPU_003833, SPU_004941, SPU_007815
OG0000005	TRINITY_DN110841_c0_g1_i1.p1, TRINITY_DN46534_c0_g1_i2.p1, TRINITY_DN92340_c0_g1_i1.p1	SPU_005455, SPU_000993, SPU_019978, SPU_022671, SPU_017706, SPU_014116, SPU_027395, SPU_016412, SPU_019566, SPU_024276, SPU_014117, SPU_025130, SPU_006963, SPU_017011, SPU_016568, SPU_019564, SPU_025805, SPU_016567, SPU_019565, SPU_024369, SPU_014987, SPU_020805
OG0000006	TRINITY_DN42618_c0_g1_i4.p1, TRINITY_DN26758_c0_g1_i5.p1	SPU_002154
OG0000006	TRINITY_DN72314_c0_g1_i1.p1, TRINITY_DN76548_c0_g1_i1.p1	SPU_000161
OG0000006	TRINITY_DN74097_c0_g1_i2.p1	SPU_025961, SPU_019992, SPU_008460, SPU_012061, SPU_025114
OG0000007	TRINITY_DN91752_c0_g1_i1.p1	SPU_013789, SPU_008269, SPU_025083, SPU_023405, SPU_003948, SPU_023340, SPU_025009, SPU_004851, SPU_025008, SPU_024280, SPU_007367, SPU_006697, SPU_006309, SPU_021575, SPU_021576, SPU_021574, SPU_001269, SPU_013783, SPU_013779, SPU_013777, SPU_005031, SPU_013780
