spu_id	Orthogroup	family_member	common_name	synonyms	best_genbank_hit
1	SPU_000002	OG0001426	LNB-7TM GPCR	Cub/Ldla/Gpcr	NA	NA
2	SPU_000003	OG0002596	NA	Hypp_1239	hypothetical protein-1239	XP_002121667.1
3	SPU_000006	OG0012715	RNA helicase	RigIL4	MDA-5 like 12, LGP2 like 12	NA
4	SPU_000007	OG0002845	WNT	Wnt7	wingless-related MMTV integration site 7	AAC80433
5	SPU_000008	OG0010762	PLCc superfamily	Plcxd3L	phosphatidylinositol-specific phospholipase C, X domain containing 3	XP_001371514.1
6	SPU_000009	OG0002329	NA	Mfsd1	major facilitator superfamily domain containing 1	27503032
7	SPU_000010	OG0010940	RnaseH2-Ydr279 superfamily	Rnaseh2b	ribonuclease H2 subunit B	NP_001088963.1
8	SPU_000011	OG0006663	NA	NA	NA	NA
9	SPU_000012	OG0006975	NA	Agmat	Agmatinase, mitochondrial precursor (Agmatine ureohydrolase) (AUH)	20140087
10	SPU_000014	OG0004890	UBCc superfamily	Ube2a	ubiquitin-conjugating enzyme E2A	XP_001137388.1
11	SPU_000021	OG0005252	HSCB_C superfamily, DnaJ superfamily	HscbL	similar to co-chaperone protein HscB, mitochondrial precursor	ACI66807.1
12	SPU_000022	OG0006617	NA	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b	13559061
13	SPU_000025	OG0000321	NA	Clcn1	skeletal muscle chloride channel ClC-1	55742778
14	SPU_000026	OG0004773	NA	Adsl	adenylosuccinate lyase, Asl	XP_005421916
15	SPU_000034	OG0001217	NA	Fhad1L	forkhead-associated (FHA) phosphopeptide binding domain 1	XP_002124312.1
16	SPU_000035	OG0010624	NA	Efhdc2	NA	AAH98936
17	SPU_000037	OG0002291	PH-like superfamily	Veph1_1	ventricular zone expressed PH domain homolog 1	AAI11018.1
18	SPU_000040	OG0004752	NA	C7orf60L	human chromosome 7 open reading frame 60-like	BAG61743.1
19	SPU_000042	OG0008557	Kelch_1 superfamily	Krfp1	Kelch repeat-containing family protein 1	XP_001024341.1
20	SPU_000043	OG0007038	LY superfamily	Lrp6l	LDL receptor-related protein 6	XP_001950234.1
21	SPU_000045	OG0012241	FCN1	Fic1	Ficolin	NA
22	SPU_000046	OG0003138	NA	Cdc7	Cell division cycle 7-related protein kinase, CDC7-related kinase	NA
23	SPU_000047	OG0008536	EGF-like	Egfl	vascular endothelial statin	NP_942018
24	SPU_000048	OG0009217	NA	Slc31a1	solute carrier family 31 (copper transporters), member 1	55859552
25	SPU_000049	OG0010690	NA	TrypL	trypsin-like serine protease with CCP/sushi repeats	72010229
26	SPU_000051	OG0012416	SRCR superfamily, CUB domain superfamily	Srcr	scavenger receptor cysteine-rich protein	NP_999141.1
27	SPU_000052	OG0010489	NA	Aytl2	acyltransferase like 2	BC066809
28	SPU_000053	OG0006390	hyalin	Egf/HyalinL5	NA	Xp784206
29	SPU_000054	OG0004065	NA	Dus2l	Dihydrouridine synthase 2-like	BC006527
30	SPU_000055	OG0003222	NA	Strap	serine/threonine kinase receptor associated protein  	NM_011499
31	SPU_000057	OG0012534	NA	Igcam/Igcam/Igcam	NA	XP_396307
32	SPU_000062	OG0009483	tubulin	Btub3	NA	NP_006079
33	SPU_000063	OG0004481	NA	Rdh8	retinol dehydrogenase 8 (all-trans)	7657478
34	SPU_000064	OG0000641	7TM GPCR	Mus_achlrM3	NA	XP_700381.1
35	SPU_000066	OG0011383	NOL1/NOP2/Sun domain family	Nsun7l	putative methyltransferase NSUN7	XP_001478374.1
36	SPU_000067	OG0002503	J1 crystallin subfamily	Crj1L	Crystallin J1A or J1B or J1C	AAA30106.1
37	SPU_000069	OG0010377	sodium carrier family 6	Glyt1L	sodium- and chloride-dependent glycine transporter 1	NP_777037.1
38	SPU_000070	OG0006207	mucin	MucL	NA	NA
39	SPU_000073	OG0008234	IRAK/Pelle-like	Irak4L	interleukin-1 receptor-associated kinase 4-like, Pik1	XP_004694842
40	SPU_000074	OG0004949	RHOD superfamily	Tsga14L	testis-specific gene A14 protein, centrosomal protein of 41 kDa	NP_114387.1
41	SPU_000075	OG0010106	metalloprotease	Methiapd2L	NA	NP_006829
42	SPU_000076	OG0002093	solute carrier family	Gat_2	GABA transporter	AAF70819.1
43	SPU_000077	OG0003069	NA	Atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	55962357
44	SPU_000079	OG0002997	7TM GPCR_1 superfamily	MoodyL2	G-protein coupled receptor moody (Drosophila)-like, Hypp_1241	XP_002608949
45	SPU_000080	OG0006898	NA	Mestl	mesoderm-specific transcript homolog protein (paternally-expressed gene 1 protein)	AAI33640.1
46	SPU_000084	OG0004735	NA	Tbcd	Tubulin-folding cofactor D, Tubulin-specific chaperone D	BC059843
47	SPU_000091	OG0006440	NA	Fimbph	NA	17647429
48	SPU_000092	OG0012318	NA	Kcnh1	potassium voltage-gated channel, subfamily H (eag-related, Ether-a-go-go), member 1	55665623
49	SPU_000094	OG0000853	NA	Hypp_293	hypothetical protein-293	XP_002241794.1
50	SPU_000097	OG0001701	NA	NA	NA	NA
51	SPU_000098	OG0001700	NA	Clasp2	Cytoplasmic linker-associated protein 2, CLIP-associating protein 2 	BC030468
52	SPU_000101	OG0009465	NA	Sf3B3	Splicing factor 3b, subunit 3, 130kDa (SF3B3)	NP_036558
53	SPU_000105	OG0001880	NA	Mapkkk12/13	mitogen activated protein kinase kinase kinase 12/13, MAP3K12/13	NP_004712
54	SPU_000114	OG0009499	NA	Fut6	alpha-1,3-fucosyltransferase  	967199
55	SPU_000116	OG0012374	NA	Gucy1a3	soluble guanylyl cyclase alpha 1 subunit	54633297
56	SPU_000117	OG0008976	NA	Gucy1b3	soluble guanylyl cyclase beta1	14245752
57	SPU_000118	OG0007178	NA	Aasdhppt	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase 	16876895
58	SPU_000122	OG0011127	NA	Nmcp1l	nuclear matrix constituent protein 1 like	XP_781716.2
59	SPU_000127	OG0010633	Ubiquitin carboxyl-terminal hydrolase (UCH)	Usp3	ubiquitin specific protease 3, Usp3_1	XP_006044985
60	SPU_000128	OG0009880	tropomyosin	Tropmy1	Tropomyosin 1	83715929
61	SPU_000129	OG0006380	bHLH, PAS	Arnt	aryl hydrocarbon receptor nuclear translocator, bHLHe1/2-like, ArntL 	XP_006814028
62	SPU_000135	OG0002466	ankyrin superfamily	Zf(mynd)_13L	zinc finger (MYND)-13 like	FAA00235.1
63	SPU_000138	OG0004918	NA	Maeal	macrophage erythroblast attacher like	NP_001012622.1
64	SPU_000144	OG0003345	NOP superfamily	Nop5	nucleolar protein 5	NP_057018.1
65	SPU_000146	OG0007356	NA	Kpnb1	Karyopherin (Importin) beta 1	BC055115
66	SPU_000148	OG0012567	ependymin	Epdmnrp2	NA	NA
67	SPU_000150	OG0002954	NA	NA	NA	NA
68	SPU_000151	OG0004058	serine/threonine kinase	Cdk4/6	cyclin-dependent kinase 4 and 6-like, Cdk4, Cdk6	AAK95393
69	SPU_000156	OG0008440	solute carrier family	Slc22L	solute carrier family 22 like	AAH78883.1
70	SPU_000157	OG0006281	NA	DpL	dumpy like	NP_787974.3
71	SPU_000158	OG0012646	NA	NA	NA	NA
72	SPU_000159	OG0009345	bindin receptor/hyalin	Bdnr	NA	AAR03494.1
73	SPU_000161	OG0000006	ZU5 domain	Zu5d	Zu5 domain containing, AnkL	XP_001198598
74	SPU_000163	OG0012672	sulfotransferase_1 superfamily	Sult4a1	sulfotransferase family 4A, member 1	ACI66310.1
75	SPU_000164	OG0006420	NA	Clect	NA	NA
76	SPU_000165	OG0001591	NA	NA	NA	NA
77	SPU_000166	OG0005411	DUF6 superfamily	Slc35f3L	solute carrier family 35, member f3 or f2	XP_002126431.1
78	SPU_000167	OG0004005	NA	Chac	ChaC/YtfP family, predicted enzyme (misannotated as cation transporter)	50748159
79	SPU_000169	OG0006842	TLD superfamily	Ncoa7l	nuclear receptor coactivator 7	BAG54516.1
80	SPU_000170	OG0006382	NA	Ars2	arsenate resistance protein ARS2 	NP_056992
81	SPU_000172	OG0001324	NA	Naprt1L	nicotinate phosphoribosyltransferase-like protein	37787305
82	SPU_000174	OG0008962	NA	Slc30a3_1	Solute carrier family 30 (zinc transporter), member 3	49899850
83	SPU_000176	OG0010446	Reeler-like	Reeler/Egf/Foln	NA	NA
84	SPU_000178	OG0004354	NA	PP2aB56e	Epsilon isoform of regulatory subunit B56, protein phosphatase 2A	AAN14118
85	SPU_000180	OG0006788	NA	Rbm26L	RNA binding motif protein 26 like	CAI95136.1
86	SPU_000183	OG0004089	NA	NA	NA	
87	SPU_000184	OG0006748	PRA1 superfamily	Pra1L	NA	CAP19474.1
88	SPU_000185	OG0011808	NA	Hypp_1245	hypothetical protein-1245	EEA55196.1
89	SPU_000186	OG0008693	LRR/Ig receptor	Lrr/Igr_3	NA	NA
90	SPU_000187	OG0005140	NA	Gmppb	GDP-mannose pyrophosphorylase B	29244556
91	SPU_000188	OG0004572	NA	NA	NA	NA
92	SPU_000189	OG0005739	Mmp37 superfamily	Tamm41	TAM41 mitochondrial translocator assembly and maintenance protein (S. cerevisiae) homolog, C3orf31L 	 \tNP_001187702
93	SPU_000191	OG0008072	NA	Cmpk	UMP-CMP (Uridine monophosphate/cytidine monophosphate) kinase;	17389257
94	SPU_000195	OG0000300	C2 superfamily	Dysf	dysferlin (various isoforms)	NP_001095960.1
95	SPU_000197	OG0007320	P_loop_NTPase superfamily	Figl1L	fidgetin-like 1	NP_001096311.1
96	SPU_000202	OG0004520	RhoGAP	Chn2	Chimaerin beta, Chimerin2, RhoGAP3	BC3764
97	SPU_000205	OG0007857	NA	Mtg1	Mitochondrial GTPase 1 homolog	BC004409
98	SPU_000208	OG0008187	Sterol-sensing	Disp	dispatched (disp) homolog, Dispatched 1, Dispatched A, Dspchd	NP_997965
99	SPU_000210	OG0009168	NA	Pola	DNA polymerase alpha catalytic subunit	AAP13534
100	SPU_000212	OG0003379	NA	Gnptabl	N-acetylglucosamine-1-phosphate transferase	NP_001038233.1
101	SPU_000213	OG0007952	NA	Tmem69	transmembrane protein 69	AAI62889.1
102	SPU_000214	OG0008104	NA	C20orf31	Putative alpha-mannosidase C20orf31 precursor (8922667) ER degradation-enhancing-mannosidase-like protein 2 (27413906) ER degradation enhancer, mannosidase alpha-like 1	17368685
103	SPU_000215	OG0005396	NA	NA	NA	NA
104	SPU_000216	OG0002771	hyalin	Egf/HyalinL14	NA	XP_792274.1|
105	SPU_000218	OG0000309	metalloprotease	TolloidL	NA	NP_001022731
106	SPU_000222	OG0012078	PGRP	Pgrp3	NA	AY956812.1
107	SPU_000225	OG0010512	Mpp10 superfamily	Mphosph10l	M-phase phosphoprotein 10 like	NP_001039782.1
108	SPU_000226	OG0000277	NA	NA	NA	NA
109	SPU_000227	OG0008255	DIE2_ALG10 superfamily	Alg10bh	asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase)	XP_001919369.1
110	SPU_000232	OG0011776	NA	NA	NA	NA
111	SPU_000236	OG0001085	NA	Idh1	Isocitrate dehydrogenase [NADP] cytoplasmic (Oxalosuccinate decarboxylase) (IDH) (NADP(+)-specific ICDH) (IDP)	1170478
112	SPU_000237	OG0001231	NA	Jip1	C-jun-amino-terminal kinase interacting protein 1, JNK-interacting protein 1, JNK MAP kinase scaffold protein 1, Islet-brain-1, MAPK8-interacting protein 1	XP_784639
113	SPU_000240	OG0010261	UBCc superfamily	Ube2zl	ubiquitin-conjugating enzyme E2 Zl	NP_001107939.1
114	SPU_000241	OG0001739	talin 	Tal1ph	NA	45383127
115	SPU_000242	OG0009478	NA	Dazapi2	NA	AAR89536.1
116	SPU_000243	OG0002458	WD40 superfamily	Wdr60	WD repeat domain 60	NP_666151.3
117	SPU_000244	OG0003685	NA	Prp4	NA	NP_003904
118	SPU_000245	OG0007193	NA	Hypp_297	hypothetical protein-297	NA
119	SPU_000247	OG0008949	p25-alpha superfamily	Tppp2/3	tubulin polymerization-promoting protein family member 2 or 3	NP_001122106.1
120	SPU_000248	OG0005631	NA	NA	NA	NA
121	SPU_000249	OG0007914	NA	Mtbpl	Mdm2, transformed 3T3 cell double minute 2, p53-binding protein-binding protein, 104 kDa	XP_001381060.1
122	SPU_000250	OG0009742	NA	Hypp_1246	hypothetical protein-1246	EEA43038.1
123	SPU_000251	OG0008927	SNARE associated Golgi protein	Tmem41a	transmembrane protein 41A	XP_001640984
